startIp,endIp,ipVersion,serviceName,serviceUrl
146.70.102.0,146.70.102.255,4,Private Internet Access,
185.253.97.0,185.253.97.255,4,CyberGhostVPN,
193.19.204.0,193.19.204.255,4,Surfshark,
103.137.12.0,103.137.12.255,4,NordVPN,
185.137.164.0,185.137.164.255,4,ExpressVPN,https://expressvpn.com
85.203.0.0,85.203.63.255,4,ExpressVPN,
146.70.114.0,146.70.114.255,4,Surfshark,
208.85.20.0,208.85.21.255,4,TunnelBear,
193.42.99.0,193.42.99.255,4,NordVPN,https://nordvpn.com
23.234.69.32,23.234.69.47,4,MullvadVPN,https://mullvad.net
185.111.110.0,185.111.110.255,4,ProtonVPN,
146.70.185.0,146.70.185.255,4,MullvadVPN,https://mullvad.net
83.136.182.0,83.136.182.255,4,NordVPN,https://nordvpn.com
185.187.243.0,185.187.243.255,4,NordVPN,https://nordvpn.com
185.156.44.0,185.156.47.255,4,MullvadVPN,
43.225.189.0,43.225.189.255,4,Surfshark,
176.96.226.0,176.96.226.255,4,ProtonVPN,
84.233.199.0,84.233.199.255,4,NordVPN,https://nordvpn.com
149.22.94.0,149.22.94.255,4,NordVPN,
89.33.8.0,89.33.8.127,4,ProtonVPN,https://protonvpn.com
194.32.122.0,194.32.122.255,4,Private Internet Access,
185.217.71.0,185.217.71.255,4,Surfshark,
149.88.30.0,149.88.30.255,4,NordVPN,
185.156.172.0,185.156.175.255,4,AirVPN,
103.214.46.0,103.214.46.255,4,NordVPN,https://nordvpn.com
84.247.0.0,84.247.0.255,4,NordVPN,https://nordvpn.com
194.36.110.0,194.36.110.255,4,NordVPN,
62.169.136.0,62.169.136.255,4,ProtonVPN,https://protonvpn.com
151.240.45.0,151.240.45.255,4,ExpressVPN,https://expressvpn.com
185.128.9.0,185.128.9.255,4,NordVPN,https://nordvpn.com
158.173.23.0,158.173.23.255,4,Private Internet Access,https://privateinternetaccess.com
93.185.162.0,93.185.162.255,4,Surfshark,https://surfshark.com
146.70.126.0,146.70.126.255,4,MullvadVPN,
84.239.48.0,84.239.48.127,4,Private Internet Access,https://privateinternetaccess.com
212.112.19.16,212.112.19.31,4,Private Internet Access,https://privateinternetaccess.com
95.134.63.0,95.134.63.255,4,Private Internet Access,
84.239.48.128,84.239.48.255,4,Private Internet Access,https://privateinternetaccess.com
62.169.136.0,62.169.136.7,4,ProtonVPN,https://protonvpn.com
83.229.26.0,83.229.26.255,4,NordVPN,https://nordvpn.com
194.242.49.0,194.242.49.255,4,NordVPN,https://nordvpn.com
89.187.163.0,89.187.163.255,4,Hide.me VPN,
152.89.204.0,152.89.204.255,4,NordVPN,https://nordvpn.com
146.70.166.0,146.70.166.255,4,MullvadVPN,https://mullvad.net
64.44.80.0,64.44.80.255,4,NordVPN,https://nordvpn.com
169.150.199.0,169.150.199.255,4,ProtonVPN,
91.90.120.0,91.90.120.255,4,Private Internet Access,
216.238.104.0,216.238.105.255,4,TunnelBear,
138.199.0.0,138.199.63.255,4,NordVPN,
223.165.69.96,223.165.69.127,4,AirVPN,https://airvpn.org
130.195.216.0,130.195.216.255,4,ProtonVPN,https://protonvpn.com
185.216.32.0,185.216.35.255,4,NordVPN,
84.239.31.128,84.239.31.255,4,Private Internet Access,https://privateinternetaccess.com
178.249.212.0,178.249.212.255,4,NordVPN,
185.253.160.0,185.253.163.255,4,Private Internet Access,
103.108.229.0,103.108.229.255,4,MullvadVPN,
45.133.6.0,45.133.6.255,4,ExpressVPN,https://expressvpn.com
23.234.70.160,23.234.70.175,4,MullvadVPN,https://mullvad.net
185.81.124.0,185.81.127.255,4,NordVPN,https://nordvpn.com
213.152.162.118,213.152.162.255,4,AirVPN,
138.199.35.0,138.199.35.255,4,ProtonVPN,
37.120.194.0,37.120.194.255,4,NordVPN,
192.166.246.0,192.166.246.255,4,NordVPN,https://nordvpn.com
37.19.196.0,37.19.197.255,4,Private Internet Access,
194.195.89.0,194.195.89.255,4,NordVPN,https://nordvpn.com
85.203.23.0,85.203.23.255,4,ExpressVPN,https://expressvpn.com
103.108.174.0,103.108.175.255,4,Private Internet Access,
147.78.0.0,147.78.0.255,4,VPN Unlimited,
82.197.75.0,82.197.75.255,4,NordVPN,https://nordvpn.com
185.132.186.0,185.132.186.255,4,ExpressVPN,https://expressvpn.com
98.159.226.0,98.159.226.255,4,ExpressVPN,https://expressvpn.com
146.70.105.0,146.70.105.255,4,NordVPN,
185.203.122.0,185.203.122.255,4,NordVPN,https://nordvpn.com
195.210.114.0,195.210.114.255,4,ExpressVPN,https://expressvpn.com
45.136.155.0,45.136.155.255,4,Surfshark,
37.120.209.0,37.120.209.255,4,NordVPN,
45.132.115.0,45.132.115.255,4,ExpressVPN,https://expressvpn.com
109.201.130.0,109.201.130.31,4,Windscribe,https://windscribe.com
193.37.32.0,193.37.32.255,4,ExpressVPN,https://expressvpn.com
194.32.120.0,194.32.123.255,4,Private Internet Access,
198.44.142.16,198.44.142.31,4,Windscribe,https://windscribe.com
149.34.240.0,149.34.255.255,4,NordVPN,
129.232.129.144,129.232.129.159,4,ibVPN,
146.70.112.0,146.70.112.255,4,Surfshark,
212.56.53.0,212.56.53.255,4,Private Internet Access,
185.111.157.0,185.111.157.255,4,NordVPN,https://nordvpn.com
84.239.6.0,84.239.6.127,4,Private Internet Access,https://privateinternetaccess.com
86.107.104.0,86.107.104.255,4,Private Internet Access,https://privateinternetaccess.com
103.219.20.0,103.219.21.255,4,NordVPN,
158.173.152.0,158.173.152.255,4,Private Internet Access,https://privateinternetaccess.com
81.171.72.192,81.171.72.207,4,Privado,https://privado.com
62.169.135.0,62.169.135.255,4,ExpressVPN,https://expressvpn.com
79.127.150.0,79.127.150.255,4,Surfshark,
31.171.153.0,31.171.153.127,4,Private Internet Access,
120.138.16.96,120.138.16.111,4,AirVPN,https://airvpn.org
